World,China,United States,European Union (28),Russia,India
29964.04,3154.46,5866.64,5244.24,2982.76,1188.84
30149.06,3301.9,5831.48,5188.32,2922.7,1244.36
30068.55,3438.39,5914.71,5017.73,2707.85,1276.45
30191.77,3665.44,6041.83,4922.75,2486.62,1310.13
30372.09,3819.92,6122.58,4893.56,2233.04,1357.71
31062.62,4205.0,6179.62,4919.87,2142.95,1421.67
31630.42,4221.13,6339.44,5028.99,2104.78,1475.74
31953.86,4252.72,6502.05,4923.17,1986.0,1532.49
32176.62,4359.2,6511.31,4899.92,1970.55,1563.06
32446.04,4293.66,6533.04,4825.67,2001.35,1639.67
33261.16,4480.39,6728.36,4815.09,2037.38,1679.48
33751.1,4721.7,6684.73,4867.33,2048.05,1711.23
34325.13,5051.08,6608.37,4832.58,2054.2,1741.99
35591.49,5721.95,6680.59,4928.81,2097.04,1786.52
37067.56,6521.66,6755.82,4923.43,2108.13,1883.26
38272.92,7267.06,6764.54,4883.31,2110.48,1970.26
39387.14,7932.78,6681.79,4887.41,2170.98,2068.22
40756.93,8571.7,6783.54,4831.72,2176.73,2208.87
41075.15,8752.41,6619.43,4723.22,2207.19,2309.65
40842.82,9314.14,6225.67,4398.62,2088.84,2488.68
42771.64,10108.23,6470.91,4495.75,2177.58,2592.81
44059.73,11013.03,6354.55,4344.07,2260.19,2699.88
44530.98,11250.4,6193.28,4299.57,2213.28,2833.27
45261.25,11732.52,6279.84,4225.23,2199.17,2909.06
45740.7,11911.71,6371.1,4053.66,2137.83,3079.81
